,Movie_id,Person_id
408,0042192,0000012
409,0042192,0000879
410,0042192,0001695
411,0055031,0000075
412,0055031,0000044
413,0055031,0001847
414,0120382,0000120
415,0120382,0000438
416,0120382,0001473
417,0469494,0000358
418,0469494,0200452
419,0469494,0001354
420,1130884,0000138
421,1130884,0607865
422,1130884,0749263
423,0112641,0000134
424,0112641,0000232
425,0112641,0000582
426,0089881,0619938
427,0089881,0855417
428,0089881,0628704
429,0107290,0000554
430,0107290,0000368
431,0107290,0000156
432,0167404,0000246
433,0167404,0005286
434,0167404,0001057
435,0457430,1419440
436,0457430,0317725
437,0457430,0530365
438,0105695,0000142
439,0105695,0000432
440,0105695,0000151
441,0268978,0000128
442,0268978,0000438
443,0268978,0000124
444,0477348,0000169
445,0477348,0000849
446,0477348,0000982
447,0040897,0000007
448,0040897,0404158
449,0040897,0392529
450,0055630,0001536
451,0055630,0867391
452,0055630,0619938
453,0084787,0000621
454,0084787,0000979
455,0084787,0202966
456,0266697,0000235
457,0266697,0001016
458,0266697,0000435
459,0071853,0001037
460,0071853,0000092
461,0071853,0001385
462,0057115,0000537
