,id,Name
596,0619870,Mohammad Amir Naji
597,0268488,Amir Farrokh Hashemian
598,0781245,Bahare Seddiqi
599,0000442,Rutger Hauer
600,0000707,Sean Young
601,0252230,Chiwetel Ejiofor
602,0931324,Michael Kenneth Williams
603,1055413,Michael Fassbender
604,0000160,Ethan Hawke
605,0000365,Julie Delpy
606,0248600,Andrea Eckert
607,0023832,Mathieu Amalric
608,0000032,Charlton Heston
609,0000963,Stephen Boyd
610,0641939,Ryan O'Neal
611,0001943,Marisa Berenson
612,0683253,Rosamund Pike
613,0000439,Neil Patrick Harris
614,0841501,Mack Swain
615,0615306,Tom Murray
616,1940449,Andrew Garfield
617,0941777,Sam Worthington
618,3478396,Luke Bracey
619,0000592,Pete Postlethwaite
620,0188949,Alison Crosbie
621,1235292,Kim Sang-kyung
622,1323287,Kim Roe-ha
623,0001500,Karl Malden
624,0533045,Marion Mack
625,0147070,Glen Cavender
626,0001030,John Cazale
627,0000494,Robert Sean Leonard
628,0334882,Darío Grandinetti
629,0555404,María Marull
630,0897640,Mónica Villa
631,0000234,Charlize Theron
632,0396558,Nicholas Hoult
633,0803705,Victor Sjöström
634,0000761,Bibi Andersson
635,0862026,Ingrid Thulin
636,0570230,Kathryn McGuire
637,0444172,Joe Keaton
638,0885098,Alida Valli
639,0598971,Yves Montand
640,0889024,Charles Vanel
641,0886870,Peter van Eyck
642,0000345,Billy Crystal
643,0000422,John Goodman
644,0316701,Mary Gibbs
645,0001702,Roy Scheider
646,0000377,Richard Dreyfuss
647,0059431,Jay Baruchel
648,0124930,Gerard Butler
649,2395586,Christopher Mintz-Plasse
650,0000795,Jean Arthur
651,0001647,Claude Rains
652,0000450,Philip Seymour Hoffman
653,0051509,Eric Bana
654,1256532,Jon Bernthal
655,0004951,Brad Garrett
656,0738918,Lou Romano
657,0652663,Patton Oswalt
658,0001884,Max von Sydow
659,0085038,Gunnar Björnstrand
660,0252345,Bengt Ekerot
661,0488953,Brie Larson
662,5016878,Jacob Tremblay
663,0108703,Sean Bridgers
664,0000313,Jeff Bridges
665,0000194,Julianne Moore
666,0753479,Chishû Ryû
667,0383261,Chieko Higashiyama
668,0945522,Sô Yamamura
669,0000230,Sylvester Stallone
670,0001735,Talia Shire
671,0949350,Burt Young
672,0000332,Don Cheadle
673,0645683,Sophie Okonedo
674,0001772,Patrick Stewart
